ticker,name,lei,cik
A,Agilent Technologies Inc,QUIX8Y7A2WP0XRMW7G29,0001090872
AA,Alcoa Inc,ABPN11VOHLHX6QR7XQ48,0001675149
AAAP,Advanced Accelerator Applications SA,,
AAC,AAC Holdings Inc,549300DGB1REPZB88Q89,0001606180
AAL,American Airlines Group Inc,,0000006201
AAMC,Altisource Asset Management Corp,,0001555074
AAME,Atlantic American Corp,,0000008177
AAN,Aaron's Inc,,0000706688
AAOI,Applied Optoelectronics Inc,,0001158114
AAON,AAON Inc,,0000824142
AAP,Advance Auto Parts Inc,,0001158449
AAPC,Atlantic Alliance Partnership Corp,,0001630940
AAPL,Apple Inc,HWUPKR0MPOU8FGXBT394,0000320193
AAT,American Assets Trust Inc,,0001500217
AAU,Almaden Minerals Ltd,,0001015647
AAV,Advantage Oil & Gas Ltd,,0001259995
AAVL,Avalanche Biotechnologies Inc ,,0001501756
AAWW,Atlas Air Worldwide Holdings Inc,549300R0A2TUVCYZB465,0001135185
AB,AllianceBernstein Holding LP,,0000825313
ABAC,Aoxin Tianli Group Inc,,0001486299
ABAX,Abaxis Inc,,0000881890
ABB,ABB Ltd,5493000LKVGOO9PELI61,0001091587
ABBV,AbbVie Inc,FR5LCKFTG8054YNNRU85,0001551152
ABC,AmerisourceBergen Corp,AI8GXW8LG5WK7E9UD086,0001140859
ABCB,Ameris Bancorp,PBJHNT51T5V6G5UQFV42,0000351569
ABCD,Cambium Learning Group Inc,,0001466815
ABCO,Advisory Board Co,549300IDOPVLNF25KU43,0001157377
ABCW,Anchor BanCorp Wisconsin Inc ,549300CT1NH1CQ033A35,0000885322
ABDC,Alcentra Capital Corp,549300HZBY88PCH8IZ78,0001578620
ABE,"Aberdeen Emerging Markets Smaller Company Opportunities Fund, Inc",,
ABEO,Abeona Therapeutics Inc,54930002Z8PIJRCB4576,0000318306
ABEV,Ambev SA,549300TH5Q6VRP8OT012,0001565025
ABG,Asbury Automotive Group Inc,549300JH4DTA7U42GL91,0001144980
ABGB,Abengoa SA ,8ZQH7RR6DBQZIX8PEQ84,0001161785
ABIL,Ability Inc,,0001652866
ABIO,ARCA Biopharma Inc,,0000907654
ABM,ABM Industries Inc,QF02R89VEIOROM77J447,0000771497
ABMD,Abiomed Inc,5493001EZN4ZTB4Z5887,0000815094
ABR,Arbor Realty Trust Inc,,0001253986
ABS,"Albertsons Companies, Inc.",,0000003333
ABT,Abbott Laboratories,HQD377W2YR662HK5JX27,0000001800
ABTL,Autobytel Inc,,0001023364
ABTX,Allegiance Bancshares Inc,,0001642081
ABUS,Arbutus Biopharma Corp,,
ABX,Barrick Gold Corp,0O4KBQCJZX82UKGCBV73,0000756894
ABY,Atlantica Yield PLC,549300YE52ABNFVVWE73,0001039778
AC,Associated Capital Group Inc,,0001642122
ACAD,ACADIA Pharmaceuticals Inc,,0001070494
ACAS,American Capital Ltd,IX05XKCONTEBR8CL9Q86,0000817473
ACAT,Arctic Cat Inc,549300T3W8Y3L9D3CQ28,0000719866
ACBI,Atlantic Capital Bancshares Inc,5493005URKIOUNJO6097,0001461755
ACC,American Campus Communities Inc,,0001283630
ACCO,ACCO Brands Corp,JCT8P4Y190IH4I1NX328,0000712034
ACET,Aceto Corp,7MUSABK5TKG3168JQL21,0000002034
ACFC,Atlantic Coast Financial Corp,,0001404296
ACFN,Acorn Energy Inc ,,0000880984
ACG,Alliancebernstein Income Fund Inc,J4DGJCPMXNWU97A1BX15,0000816754
ACGL,Arch Capital Group Ltd,,0000947484
ACGLP,Arch Capital Group Ltd,,
ACH,Aluminum Corp of China Ltd,,0001161611
ACHC,Acadia Healthcare Company Inc,5493005CW985Y9D0NC11,0001520697
ACHN,Achillion Pharmaceuticals Inc,,0001070336
ACI,Arch Coal Inc ,W47HVZ7Q6FXL86RELH91,0001037676
ACIA,Acacia Communications Inc,,0001651235
ACIU,AC Immune Ltd,,0001651625
ACIW,ACI Worldwide Inc,,0000935036
ACLS,Axcelis Technologies Inc,,0001113232
ACM,AECOM Technology Corp,0EEB8GF0W0NPCIHZX097,0000868857
ACN,Accenture PLC,,0001467373
ACNB,ACNB Corp,,0000715579
ACOR,Acorda Therapeutics Inc,5493007NPB5YRM8QGL53,0001008848
ACP,Avenue Income Credit Strategies Fund,,
ACPW,Active Power Inc,,0001044435
ACRE,Ares Commercial Real Estate Corp,549300ZNO5IWXS443S81,0001529377
ACRS,Aclaris Therapeutics Inc,5493000B2LQ9QTW1DF52,0001557746
ACRX,AcelRx Pharmaceuticals Inc,,0001427925
ACSF,American Capital Senior Floating Ltd,549300BKMXE0NNO0P072,0001581934
ACST,Acasti Pharma Inc,,0001444192
ACTA,Actua Corp,549300Z58VWYRMOUS305,0001085621
ACTG,Acacia Research Corp,,0000934549
ACTS,Actions Semiconductor Co Ltd,,0001342068
ACU,Acme United Corp,,0000002098
ACUR,Acura Pharmaceuticals Inc,549300O2I06DTW1IM738,0000786947
ACV,AllianzGI Diversified Income & Convertible Fund,,0001636289
ACW,Accuride Corp,549300MC6XO5P96H8E79,0000817979
ACXM,Acxiom Corp,76MIROMHC0FSWDR2G072,0000733269
ACY,AeroCentury Corp,,0001036848
ADAP,Adaptimmune Therapeutics PLC,549300UUNWK8TRT5EW12,0001621227
ADAT,Authentidate Holding Corp ,549300LCBXUCC35ABC82,0000885074
ADBE,Adobe Systems Inc,FU4LY2G4933NH2E1CP29,0000796343
ADC,Agree Realty Corp,,0000917251
ADEP,Adept Technology Inc ,,0000865415
ADES,Advanced Emissions Solutions Inc,5493003QMZVVPZYLOM88,0001515156
ADGE,American DG Energy Inc,,0001378706
ADHD,Alcobra Ltd,,0001566049
ADI,Analog Devices Inc,GYVOE5EZ4GDAVTU4CQ61,0000006281
ADK,Adcare Health Systems Inc,,0001004724
ADM,Archer Daniels Midland Co,549300LO13MQ9HYSTR83,0000007084
ADMA,ADMA Biologics Inc,,0001368514
ADMP,Adamis Pharmaceuticals Corp,549300EBMD9JZ2H87I37,0000887247
ADMS,Adamas Pharmaceuticals Inc,,0001328143
ADNC,Audience Inc ,,0001201663
ADNT,Adient PLC,,0001670541
ADP,Automatic Data Processing Inc,HGBOLILQXWER4SAL2I23,0000008670
ADPT,Adeptus Health Inc,,0001602367
ADRO,Aduro Biotech Inc,549300X0O3003W5QYQ48,0001435049
ADS,Alliance Data Systems Corp,549300G8S4PO686J7H97,0001101215
ADSK,Autodesk Inc,FRKKVKAIQEF3FCSTPG55,0000769397
ADSW,Advanced Disposal Services Inc,,0001585790
ADT,ADT Corp ,5493009JEEDYLVRA0J13,0001546640
ADTN,ADTRAN Inc,549300XWTHXJVGKWU616,0000926282
ADUS,Addus Homecare Corp,,0001468328
ADVS,Advent Software Inc ,5493008K65FKZ7JK3617,0001002225
