Date|REVENUE|ASSETS|CAPEX|GP|EQUITY|EPS
2001-07-29|14576000000.0|24678000000.0|-946000000.0|4326000000.0|16649000000.0|0.4
2001-10-28|13289000000.0|25667000000.0|-755000000.0|4010000000.0|17360000000.0|0.33
2002-02-03|13488000000.0|26394000000.0|-789000000.0|4156000000.0|18082000000.0|0.3
2002-05-05|14282000000.0|30409000000.0|-605000000.0|4360000000.0|19074000000.0|0.36
2002-08-04|16277000000.0|31480000000.0|-602000000.0|4946000000.0|20244000000.0|0.5
2002-11-03|14475000000.0|31347000000.0|-666000000.0|4580000000.0|20119000000.0|0.4
2003-02-02|13213000000.0|30011000000.0|-771000000.0|4222000000.0|19802000000.0|0.3
2003-05-04|15104000000.0|33747000000.0|-614000000.0|4829000000.0|20678000000.0|0.4
2003-08-03|17989000000.0|34612000000.0|-870000000.0|5605000000.0|21933000000.0|0.57
2003-11-02|16598000000.0|35374000000.0|-804000000.0|5193000000.0|22261000000.0|0.5
2004-02-01|15125000000.0|34437000000.0|-1553000000.0|4953000000.0|22407000000.0|0.42
2004-05-02|17550000000.0|37948000000.0|-647000000.0|5768000000.0|22422000000.0|0.49
2004-08-01|19960000000.0|38331000000.0|-832000000.0|6661000000.0|22450000000.0|0.7
2004-10-31|18772000000.0|39631000000.0|-1228000000.0|6252000000.0|23747000000.0|0.6
2005-01-30|16812000000.0|39020000000.0|-1145000000.0|5749000000.0|24158000000.0|0.48
2005-05-01|18973000000.0|41957000000.0|-784000000.0|6355000000.0|23821000000.0|0.58
2005-07-31|22305000000.0|42689000000.0|-953000000.0|7409000000.0|25139000000.0|0.83
2005-10-30|20744000000.0|44670000000.0|-991000000.0|6963000000.0|25792000000.0|0.72
2006-01-29|14997000000.0|44405000000.0|-989000000.0|5211000000.0|26909000000.0|0.61
2006-04-30|21461000000.0|52679000000.0|-658000000.0|7228000000.0|27799000000.0|0.7
2006-07-30|22592000000.0|51769000000.0|-780000000.0|7456000000.0|27225000000.0|0.9
2006-10-29|19648000000.0|52628000000.0|-983000000.0|6604000000.0|27758000000.0|0.73
2007-01-28|17404000000.0|52263000000.0|-983000000.0|5850000000.0|25030000000.0|0.47
2007-04-29|18545000000.0|56081000000.0|-645000000.0|6263000000.0|25673000000.0|0.53
2007-07-29|22184000000.0|56864000000.0|-822000000.0|7341000000.0|27175000000.0|0.81
2007-10-28|18961000000.0|45506000000.0|-921000000.0|6339000000.0|17446000000.0|0.6
2008-02-03|17659000000.0|44324000000.0|-852000000.0|6054000000.0|17714000000.0|0.43
2008-05-04|17907000000.0|45596000000.0|-439000000.0|6072000000.0|17706000000.0|0.21
2008-08-03|20990000000.0|45099000000.0|-423000000.0|6964000000.0|18649000000.0|0.72
2008-11-02|17784000000.0|44162000000.0|-421000000.0|5994000000.0|18396000000.0|0.45
2009-02-01|14607000000.0|41164000000.0|-417000000.0|4960000000.0|17777000000.0|-0.04
2009-05-03|16175000000.0|43767000000.0|-102000000.0|5450000000.0|17994000000.0|0.31
2009-08-02|19071000000.0|43998000000.0|-131000000.0|6388000000.0|19169000000.0|0.66
2009-11-01|16361000000.0|43050000000.0|-174000000.0|5561000000.0|19380000000.0|0.41
2010-01-31|14569000000.0|40877000000.0|-381000000.0|5013000000.0|19393000000.0|0.2
2010-05-02|16863000000.0|43619000000.0|-140000000.0|5794000000.0|19371000000.0|0.43
2010-08-01|19410000000.0|42535000000.0|-223000000.0|6582000000.0|19445000000.0|0.72
2010-10-31|16598000000.0|41741000000.0|-261000000.0|5685000000.0|19115000000.0|0.51
2011-01-30|15126000000.0|40125000000.0|-388000000.0|5243000000.0|18889000000.0|0.37
2011-05-01|16823000000.0|42797000000.0|-184000000.0|5828000000.0|18198000000.0|0.51
2011-07-31|20232000000.0|42277000000.0|-258000000.0|6876000000.0|18233000000.0|0.87
2011-10-30|17326000000.0|41499000000.0|-342000000.0|5961000000.0|17769000000.0|0.61
2012-01-29|16014000000.0|40518000000.0|-381000000.0|5597000000.0|17898000000.0|0.51
2012-04-29|17808000000.0|43300000000.0|-221000000.0|6183000000.0|17975000000.0|0.68
2012-07-29|20570000000.0|41983000000.0|-315000000.0|7026000000.0|17634000000.0|1.02
2012-10-28|18130000000.0|41661000000.0|-330000000.0|6267000000.0|17738000000.0|0.64
2013-02-03|18246000000.0|41084000000.0|-396000000.0|6366000000.0|17777000000.0|0.7
2013-05-05|19124000000.0|44195000000.0|-263000000.0|6679000000.0|16393000000.0|0.84
2013-08-04|22522000000.0|42192000000.0|-320000000.0|7721000000.0|15478000000.0|1.25
2013-11-03|19470000000.0|43814000000.0|-347000000.0|6798000000.0|14214000000.0|0.96
2014-02-02|17696000000.0|40518000000.0|-371000000.0|5717000000.0|12522000000.0|0.74
2014-05-04|19687000000.0|42629000000.0|-280000000.0|6757000000.0|12146000000.0|1.01
2014-08-03|23811000000.0|43479000000.0|-335000000.0|8007000000.0|11457000000.0|1.52
2014-11-02|20516000000.0|41512000000.0|-364000000.0|7043000000.0|10110000000.0|1.16
2015-02-01|19162000000.0|39946000000.0|-415000000.0|6582000000.0|9322000000.0|1.06
2015-05-03|20891000000.0|42510000000.0|-317000000.0|7179000000.0|9204000000.0|1.22
2015-08-02|24829000000.0|43798000000.0|-380000000.0|8365000000.0|8637000000.0|1.74
2015-11-01|21819000000.0|44152000000.0|-362000000.0|7565000000.0|7619000000.0|1.36
2016-01-31|20980000000.0|41973000000.0|-401000000.0|7156000000.0|6316000000.0|1.18
2016-05-01|22762000000.0|44576000000.0|-321000000.0|7791000000.0|6335000000.0|1.45
2016-07-31|26472000000.0|44247000000.0|-353000000.0|8927000000.0|6657000000.0|1.98
2016-10-30|23154000000.0|44502000000.0|-441000000.0|8042000000.0|5622000000.0|1.61
