Date|REVENUE|ASSETS|CAPEX|GP|EQUITY|EPS
2001-08-31|2613700000.0|6278100000.0|-56100000.0|1028900000.0|3681200000.0|0.09
2001-11-30|2336800000.0|6192700000.0|-57500000.0|895400000.0|3771700000.0|0.06
2002-02-28|2260300000.0|6245000000.0|-47800000.0|883500000.0|3867900000.0|0.06
2002-05-31|2682200000.0|6440000000.0|-105800000.0|1080500000.0|3839000000.0|0.1
2002-08-31|2796300000.0|6355900000.0|-38900000.0|1157100000.0|3672500000.0|-0.02
2002-11-30|2514700000.0|6263400000.0|-40500000.0|1010100000.0|3773500000.0|0.07
2003-02-28|2400900000.0|6401000000.0|-49600000.0|976000000.0|3835200000.0|0.06
2003-05-31|2985100000.0|6821100000.0|-42100000.0|1240200000.0|3990700000.0|0.12
2003-08-31|3024900000.0|7018600000.0|-40400000.0|1301500000.0|4217100000.0|0.12
2003-11-30|2837100000.0|7376500000.0|-44400000.0|1199600000.0|4367300000.0|0.09
2004-02-29|2904000000.0|7604300000.0|-55400000.0|1221900000.0|4563200000.0|0.1
2004-05-31|3487100000.0|7908700000.0|-63000000.0|1528700000.0|4781700000.0|0.14
2004-08-31|3561800000.0|8052900000.0|-52400000.0|1585800000.0|5022100000.0|0.15
2004-11-30|3148300000.0|8558300000.0|-66100000.0|1388100000.0|5342300000.0|0.12
2005-02-28|3308200000.0|8652100000.0|-55700000.0|1458800000.0|5427100000.0|0.13
2005-05-31|3721400000.0|8793600000.0|-75700000.0|1682700000.0|5644200000.0|0.17
2005-08-31|3862000000.0|9115700000.0|-58100000.0|1748100000.0|5963800000.0|0.21
2005-11-30|3474700000.0|9144100000.0|-106000000.0|1511400000.0|6081500000.0|0.14
2006-02-28|3612800000.0|9518200000.0|-66800000.0|1574100000.0|6261600000.0|0.16
2006-05-31|4005400000.0|9869600000.0|-101200000.0|1753400000.0|6285200000.0|0.16
2006-08-31|4194100000.0|9570500000.0|-72200000.0|1849200000.0|6220900000.0|0.19
2006-11-30|3821700000.0|9822200000.0|-82500000.0|1657100000.0|6538100000.0|0.16
2007-02-28|3926900000.0|10218600000.0|-34600000.0|1735200000.0|6848000000.0|0.17
2007-05-31|4383200000.0|10688300000.0|-95900000.0|1919000000.0|7025400000.0|0.22
2007-08-31|4655100000.0|11013500000.0|-91600000.0|2087000000.0|7354600000.0|0.28
2007-11-30|4339500000.0|11454600000.0|-109900000.0|1921100000.0|7492200000.0|0.18
2008-02-29|4544400000.0|11788200000.0|-90000000.0|2047900000.0|7613200000.0|0.23
2008-05-31|5088000000.0|12442700000.0|-155800000.0|2331400000.0|7825300000.0|0.25
2008-08-31|5432200000.0|12594800000.0|-93600000.0|2562100000.0|8032600000.0|0.26
2008-11-30|4590100000.0|12634700000.0|-117300000.0|2050000000.0|8116200000.0|0.2
