|ACCOCI|ASSETS|ASSETSC|ASSETSNC|BVPS|CAPEX|CASHNEQ|CASHNEQUSD|COR|CURRENTRATIO|DE|DEBT|DEBTUSD|DEPAMOR|DILUTIONRATIO|DPS|Date|EBIT|EBITDA|EBITDAUSD|EBITUSD|EBT|EPS|EPSDIL|EPSUSD|EQUITY|EQUITYUSD|FCF|FCFPS|GP|INTANGIBLES|INTEXP|INVCAP|INVENTORY|LIABILITIES|LIABILITIESC|LIABILITIESNC|NCF|NCFCOMMON|NCFDEBT|NCFDIV|NCFF|NCFI|NCFO|NCFX|NETINC|NETINCCMN|NETINCCMNUSD|NETINCDIS|PAYABLES|PREFDIVIS|RECEIVABLES|RETEARN|REVENUE|REVENUEUSD|RND|SGNA|SHARESWA|SHARESWADIL|SYMBOL|TANGIBLES|TAXEXP|TBVPS|WORKINGCAPITAL
0|-185000000.0|7612000000.0|3961000000.0|3651000000.0|7.24277457|-127000000.0|4045000000.0|4045000000.0|2189000000.0|3.52715939|2.03431764|2905000000.0|2905000000.0|162000000.0|1.0|0.0|2009-10-31|95000000.0|257000000.0|257000000.0|95000000.0|7000000.0|-0.09|-0.09|-0.09|2506000000.0|2506000000.0|281000000.0|0.81213873|2292000000.0|822000000.0|88000000.0|4527000000.0|552000000.0|5098000000.0|1123000000.0|3975000000.0|1074000000.0|-86000000.0|743000000.0|0.0|657000000.0|-14000000.0|408000000.0|23000000.0|-31000000.0|-31000000.0|-31000000.0|0.0|307000000.0|0.0|595000000.0|2760000000.0|4481000000.0|4481000000.0|642000000.0|1603000000.0|346000000.0|346000000.0|A|6790000000.0|38000000.0|19.62427746|2838000000.0
1|-88000000.0|9696000000.0|6169000000.0|3527000000.0|9.30259366|-114000000.0|4199000000.0|4199000000.0|2514000000.0|2.00097308|2.00123916|3691000000.0|3691000000.0|202000000.0|1.01729107|0.0|2010-10-31|788000000.0|990000000.0|990000000.0|788000000.0|692000000.0|1.97|1.94|1.97|3228000000.0|3228000000.0|604000000.0|1.74063401|2930000000.0|1950000000.0|96000000.0|4155000000.0|716000000.0|6460000000.0|3083000000.0|3377000000.0|170000000.0|-112000000.0|713000000.0|0.0|601000000.0|-1174000000.0|718000000.0|25000000.0|684000000.0|684000000.0|684000000.0|0.0|499000000.0|0.0|869000000.0|3444000000.0|5444000000.0|5444000000.0|612000000.0|1752000000.0|347000000.0|353000000.0|A|7746000000.0|8000000.0|22.32276657|3086000000.0
2|116000000.0|9057000000.0|5569000000.0|3488000000.0|12.41498559|-170000000.0|3527000000.0|3527000000.0|3086000000.0|3.03157322|1.10051068|2185000000.0|2185000000.0|253000000.0|1.02305476|0.0|2011-10-31|1118000000.0|1371000000.0|1371000000.0|1118000000.0|1032000000.0|2.92|2.85|2.92|4308000000.0|4308000000.0|1090000000.0|3.14121037|3529000000.0|1996000000.0|86000000.0|3882000000.0|898000000.0|4741000000.0|1837000000.0|2904000000.0|878000000.0|-193000000.0|-1500000000.0|0.0|-1693000000.0|1294000000.0|1260000000.0|17000000.0|1012000000.0|1012000000.0|1012000000.0|0.0|472000000.0|0.0|860000000.0|4456000000.0|6615000000.0|6615000000.0|649000000.0|1809000000.0|347000000.0|355000000.0|A|7061000000.0|20000000.0|20.34870317|3732000000.0
3|-111000000.0|10536000000.0|4629000000.0|5907000000.0|14.890804600000001|-194000000.0|2351000000.0|2351000000.0|3254000000.0|2.44532488|1.03261289|2362000000.0|2362000000.0|301000000.0|1.01436782|0.21|2012-10-31|1144000000.0|1445000000.0|1445000000.0|1144000000.0|1043000000.0|3.31|3.27|3.31|5182000000.0|5182000000.0|1034000000.0|2.97126437|3604000000.0|4111000000.0|101000000.0|4543000000.0|1014000000.0|5351000000.0|1893000000.0|3458000000.0|-1176000000.0|-72000000.0|145000000.0|-104000000.0|-37000000.0|-2366000000.0|1228000000.0|-1000000.0|1153000000.0|1153000000.0|1153000000.0|0.0|461000000.0|0.0|923000000.0|5505000000.0|6858000000.0|6858000000.0|668000000.0|1817000000.0|348000000.0|353000000.0|A|6425000000.0|-110000000.0|18.46264368|2736000000.0
4|91000000.0|10686000000.0|4983000000.0|5703000000.0|15.50146628|-193000000.0|2675000000.0|2675000000.0|1987000000.0|3.11048689|1.02099886|2699000000.0|2699000000.0|372000000.0|1.01173021|0.33|2013-10-31|909000000.0|1281000000.0|1281000000.0|909000000.0|802000000.0|2.15|2.13|2.15|5286000000.0|5286000000.0|959000000.0|2.81231672|1907000000.0|3963000000.0|107000000.0|5145000000.0|1066000000.0|5397000000.0|1602000000.0|3795000000.0|324000000.0|-739000000.0|342000000.0|-156000000.0|-554000000.0|-248000000.0|1152000000.0|-26000000.0|734000000.0|734000000.0|734000000.0|0.0|432000000.0|0.0|899000000.0|6073000000.0|3894000000.0|3894000000.0|337000000.0|1184000000.0|341000000.0|345000000.0|A|6723000000.0|68000000.0|19.71554252|3381000000.0
5|-334000000.0|10815000000.0|5509000000.0|5306000000.0|15.91891892|-191000000.0|2218000000.0|2218000000.0|2072000000.0|3.25591017|1.03961517|1663000000.0|1663000000.0|384000000.0|1.01501502|0.38|2014-10-31|656000000.0|1040000000.0|1040000000.0|656000000.0|546000000.0|1.65|1.62|1.65|5301000000.0|5301000000.0|520000000.0|1.56156156|1976000000.0|3156000000.0|110000000.0|5412000000.0|574000000.0|5511000000.0|1692000000.0|3819000000.0|353000000.0|-12000000.0|90000000.0|-176000000.0|-97000000.0|-230000000.0|711000000.0|-31000000.0|549000000.0|549000000.0|549000000.0|0.0|302000000.0|0.0|626000000.0|6469000000.0|4048000000.0|4048000000.0|358000000.0|1199000000.0|333000000.0|338000000.0|A|7659000000.0|-3000000.0|23.0|3817000000.0
6|-391000000.0|7479000000.0|3686000000.0|3793000000.0|12.51351351|-86000000.0|2245000000.0|2245000000.0|1997000000.0|3.77663934|0.79409647|1655000000.0|1655000000.0|253000000.0|1.00600601|0.4|2015-10-31|509000000.0|762000000.0|762000000.0|509000000.0|443000000.0|1.2|1.2|1.2|4167000000.0|4167000000.0|405000000.0|1.21621622|2041000000.0|2811000000.0|66000000.0|3102000000.0|541000000.0|3309000000.0|976000000.0|2333000000.0|-1025000000.0|-209000000.0|0.0|-133000000.0|-1068000000.0|-400000000.0|491000000.0|-48000000.0|401000000.0|401000000.0|401000000.0|37000000.0|279000000.0|0.0|606000000.0|5581000000.0|4038000000.0|4038000000.0|330000000.0|1189000000.0|333000000.0|335000000.0|A|4668000000.0|42000000.0|14.01801802|2710000000.0
0||||||-6264000.0|||0.0|||||1288000.0|1.01269675|0.0|2012-12-31|3632000.0|4920000.0|4920000.0|3632000.0|2652000.0|0.12|0.12|0.12|||-6195000.0|-0.50744748|66035000.0||980000.0||||||607000.0|0.0|8516000.0|0.0|8434000.0|-7896000.0|69000.0|0.0|1504000.0|1504000.0|1504000.0|0.0||0.0|||66035000.0|66035000.0|0.0|39777000.0|12208160.0|12363164.0|AAC||1148000.0||
1|0.0|81638000.0|29529000.0|52109000.0|0.59058313|-12975000.0|2012000.0|2012000.0|0.0|1.04309584|7.07723329|43075000.0|43075000.0|3003000.0|1.03147708|0.0|2013-12-31|2791000.0|5794000.0|5794000.0|2791000.0|1401000.0|0.13|0.12|0.13|8183000.0|8183000.0|-9532000.0|-0.6879430999999999|115741000.0|14359000.0|1390000.0|80033000.0|0.0|57913000.0|28309000.0|29604000.0|1272000.0|2366000.0|11014000.0|0.0|10973000.0|-13144000.0|3443000.0|0.0|786000.0|1786000.0|1786000.0|0.0|1895000.0|-1000000.0|24817000.0|2360000.0|115741000.0|115741000.0|0.0|70626000.0|13855797.0|14291937.0|AAC|67279000.0|615000.0|4.85565717|1220000.0
2|0.0|145952000.0|79922000.0|66030000.0|5.88694474|-15584000.0|48540000.0|48540000.0|0.0|4.76605641|0.44076369|28641000.0|28641000.0|4662000.0|1.0037158000000002|0.0|2014-12-31|11975000.0|16637000.0|16637000.0|11975000.0|10103000.0|0.41|0.41|0.41|97474000.0|97474000.0|-7546000.0|-0.45574086|132968000.0|15637000.0|1872000.0|93647000.0|0.0|42963000.0|16769000.0|26194000.0|46528000.0|69897000.0|-16840000.0|-509000.0|58011000.0|-19521000.0|8038000.0|0.0|7548000.0|6855000.0|6855000.0|0.0|2001000.0|693000.0|28718000.0|9215000.0|132968000.0|132968000.0|0.0|78465000.0|16557655.0|16619180.0|AAC|130315000.0|2555000.0|7.87037778|63153000.0
