Ticker	Name	CUSIP	Fama Industry	Currency	Sector	Industry	Last Updated	Prior Tickers	Ticker Change Date	Related Tickers	Exchange	SIC	Perma Ticker	Location	Delisted From	Is Foreign
A	AGILENT TECHNOLOGIES INC	00846U101	Measuring and Control Equipment	USD	Healthcare	Medical Laboratories & Research	2016-09-08	None	None	None	NYSE	3826	196290	CALIFORNIA, U.S.A	None	N
AAAP	Advanced Accelerator Applications S.A. (Foreign)	00790T100	Pharmaceutical Products	EUR	Healthcare	Drug Manufacturers - Other	2016-07-19	None	None	None	NASDAQ	2834	155760	FRANCE	None	Y
AABC	ACCESS ANYTIME BANCORP INC	00431F105	Banking	USD	Financial	Savings & Loans	2016-09-07	None	None	None	DELISTED	6035	165444	NEW MEXICO, U.S.A	NASDAQ	N
AAC	AAC Holdings, Inc.	000307108	Healthcare	USD	Healthcare	Specialized Health Services	2016-11-09	None	None	None	NYSE	8093	187592	TENNESSEE, U.S.A	None	N
AACC	ASSET ACCEPTANCE CAPITAL CORP	04543P100	Banking	USD	Financial	Asset Management	2016-08-31	None	None	None	DELISTED	6153	195323	MICHIGAN, U.S.A	NASDAQ	N
AACE	ACE CASH EXPRESS INC	004403101	Banking	USD	Services	Business Services	2016-08-16	None	None	None	DELISTED	6099	178353	TEXAS, U.S.A	NASDAQ	N
AACPF	Australia Acquisition Corp (Foreign)	G06368123	Trading	USD	Consumer Goods	Textile - Apparel Clothing	2016-08-27	None	None	AAC,AACOU,AACOW	DELISTED	6770	190934	AUSTRALIA	NASDAQ	Y
AAI	AIRTRAN HOLDINGS INC	00949P108	Shipping Containers	USD	Services	Regional Airlines	2016-08-30	None	None	None	DELISTED	4512	188778	FLORIDA, U.S.A	NASDAQ	N
AAIIQ	ALABAMA AIRCRAFT INDUSTRIES, INC	01023E100	Aircraft	USD	Industrial Goods	Aerospace/Defense Products & Services	2016-09-02	None	None	AAII	DELISTED	3721	177928	ALABAMA, U.S.A	NASDAQ	N
AAIR	Avantair, Inc	05350T101	Shipping Containers	USD	Healthcare	Specialized Health Services	2016-08-19	None	None	None	DELISTED	4522	195013	FLORIDA, U.S.A	OTCMKTS	N
